39	18.47
4	6.22
74	30.72
28	14.62
76	31.42
95	38.07
35	17.07
5	6.57
40	18.82
36	17.42
6	6.92
48	21.62
53	23.37
96	38.42
22	12.52
6	6.92
73	30.37
41	19.17
2	5.52
63	26.87
64	27.22
84	34.22
72	30.02
24	13.22
33	16.37
17	10.77
7	7.27
14	9.72
45	20.57
17	10.77
25	13.57
37	17.77
74	30.72
51	22.67
65	27.57
50	22.32
98	39.12
0	4.82
55	24.07
90	36.32
36	17.42
13	9.37
38	18.12
42	19.52
10	8.32
12	9.02
48	21.62
83	33.87
5	6.57
2	5.52
46	20.92
69	28.97
86	34.92
70	29.32
94	37.72
19	11.47
87	35.27
53	23.37
85	34.57
33	16.37
23	12.87
11	8.67
70	29.32
97	38.77
62	26.52
87	35.27
47	21.27
13	9.37
88	35.62
54	23.72
3	5.87
76	31.42
68	28.62
42	19.52
70	29.32
78	32.12
6	6.92
18	11.12
61	26.17
64	27.22
72	30.02
59	25.47
85	34.57
58	25.12
30	15.32
79	32.47
29	14.97
17	10.77
85	34.57
67	28.27
2	5.52
8	7.62
78	32.12
24	13.22
5	6.57
92	37.02
12	9.02
4	6.22
5	6.57
0	4.82
58	25.12
9	7.97
28	14.62
26	13.92
3	5.87
99	39.47
4	6.22
61	26.17
69	28.97
17	10.77
77	31.77
42	19.52
77	31.77
63	26.87
52	23.02
59	25.47
94	37.72
34	16.72
76	31.42
79	32.47
1	5.17
31	15.67
87	35.27
31	15.67
55	24.07
44	20.22
75	31.07
67	28.27
48	21.62
81	33.17
19	11.47
59	25.47
42	19.52
0	4.82
85	34.57
97	38.77
99	39.47
42	19.52
58	25.12
20	11.82
59	25.47
36	17.42
14	9.72
36	17.42
51	22.67
19	11.47
95	38.07
45	20.57
53	23.37
24	13.22
25	13.57
6	6.92
7	7.27
64	27.22
37	17.77
62	26.52
61	26.17
12	9.02
82	33.52
61	26.17
45	20.57
53	23.37
20	11.82
87	35.27
53	23.37
58	25.12
36	17.42
4	6.22
0	4.82
47	21.27
25	13.57
59	25.47
35	17.07
39	18.47
48	21.62
86	34.92
58	25.12
95	38.07
31	15.67
63	26.87
71	29.67
8	7.62
69	28.97
78	32.12
25	13.57
58	25.12
41	19.17
38	18.12
71	29.67
75	31.07
99	39.47
68	28.62
28	14.62
72	30.02
8	7.62
82	33.52
30	15.32
44	20.22
38	18.12
82	33.52
91	36.67
63	26.87
41	19.17
78	32.12
55	24.07
41	19.17
64	27.22
13	9.37
89	35.97
48	21.62
29	14.97
60	25.82
8	7.62
98	39.12
39	18.47
85	34.57
9	7.97
32	16.02
23	12.87
80	32.82
59	25.47
75	31.07
0	4.82
87	35.27
47	21.27
8	7.62
21	12.17
29	14.97
5	6.57
60	25.82
11	8.67
48	21.62
75	31.07
4	6.22
27	14.27
30	15.32
98	39.12
91	36.67
96	38.42
87	35.27
39	18.47
25	13.57
47	21.27
0	4.82
75	31.07
38	18.12
85	34.57
84	34.22
22	12.52
9	7.97
16	10.42
81	33.17
36	17.42
17	10.77
21	12.17
83	33.87
25	13.57
42	19.52
64	27.22
82	33.52
54	23.72
27	14.27
31	15.67
30	15.32
83	33.87
58	25.12
12	9.02
81	33.17
49	21.97
8	7.62
68	28.62
41	19.17
33	16.37
68	28.62
41	19.17
9	7.97
6	6.92
78	32.12
93	37.37
29	14.97
87	35.27
10	8.32
10	8.32
23	12.87
79	32.47
31	15.67
58	25.12
56	24.42
26	13.92
74	30.72
39	18.47
32	16.02
53	23.37
70	29.32
14	9.72
37	17.77
28	14.62
27	14.27
18	11.12
29	14.97
35	17.07
39	18.47
70	29.32
69	28.97
7	7.27
63	26.87
30	15.32
13	9.37
42	19.52
23	12.87
42	19.52
81	33.17
85	34.57
5	6.57
5	6.57
64	27.22
88	35.62
15	10.07
21	12.17
66	27.92
42	19.52
60	25.82
99	39.47
95	38.07
30	15.32
13	9.37
32	16.02
10	8.32
40	18.82
51	22.67
39	18.47
28	14.62
42	19.52
62	26.52
97	38.77
49	21.97
25	13.57
27	14.27
62	26.52
19	11.47
2	5.52
57	24.77
1	5.17
88	35.62
14	9.72
58	25.12
4	6.22
54	23.72
25	13.57
25	13.57
21	12.17
67	28.27
37	17.77
72	30.02
63	26.87
19	11.47
85	34.57
95	38.07
29	14.97
78	32.12
98	39.12
69	28.97
6	6.92
40	18.82
83	33.87
55	24.07
41	19.17
8	7.62
34	16.72
4	6.22
80	32.82
36	17.42
13	9.37
81	33.17
76	31.42
27	14.27
91	36.67
81	33.17
81	33.17
16	10.42
6	6.92
54	23.72
36	17.42
96	38.42
26	13.92
99	39.47
15	10.07
64	27.22
46	20.92
45	20.57
42	19.52
97	38.77
66	27.92
0	4.82
89	35.97
49	21.97
55	24.07
31	15.67
9	7.97
89	35.97
87	35.27
89	35.97
77	31.77
0	4.82
22	12.52
54	23.72
79	32.47
65	27.57
35	17.07
12	9.02
34	16.72
93	37.37
67	28.27
70	29.32
89	35.97
93	37.37
21	12.17
5	6.57
57	24.77
67	28.27
2	5.52
51	22.67
64	27.22
20	11.82
3	5.87
6	6.92
21	12.17
58	25.12
37	17.77
30	15.32
99	39.47
24	13.22
72	30.02
29	14.97
76	31.42
46	20.92
83	33.87
55	24.07
12	9.02
70	29.32
67	28.27
46	20.92
63	26.87
86	34.92
68	28.62
5	6.57
80	32.82
89	35.97
62	26.52
89	35.97
56	24.42
16	10.42
93	37.37
73	30.37
36	17.42
96	38.42
79	32.47
57	24.77
7	7.27
68	28.62
39	18.47
6	6.92
44	20.22
11	8.67
87	35.27
20	11.82
58	25.12
70	29.32
27	14.27
22	12.52
92	37.02
46	20.92
68	28.62
56	24.42
33	16.37
36	17.42
13	9.37
65	27.57
25	13.57
75	31.07
54	23.72
33	16.37
43	19.87
47	21.27
58	25.12
79	32.47
96	38.42
89	35.97
88	35.62
3	5.87
57	24.77
27	14.27
9	7.97
1	5.17
39	18.47
49	21.97
73	30.37
49	21.97
19	11.47
0	4.82
71	29.67
64	27.22
47	21.27
39	18.47
72	30.02
32	16.02
27	14.27
85	34.57
97	38.77
4	6.22
12	9.02
3	5.87
37	17.77
55	24.07
3	5.87
96	38.42
86	34.92
99	39.47
37	17.77
74	30.72
2	5.52
95	38.07
1	5.17
63	26.87
48	21.62
40	18.82
12	9.02
74	30.72
41	19.17
84	34.22
74	30.72
12	9.02
48	21.62
73	30.37
3	5.87
20	11.82
57	24.77
30	15.32
57	24.77
54	23.72
86	34.92
69	28.97
58	25.12
24	13.22
76	31.42
13	9.37
72	30.02
62	26.52
12	9.02
9	7.97
36	17.42
14	9.72
56	24.42
37	17.77
29	14.97
57	24.77
30	15.32
42	19.52
31	15.67
71	29.67
78	32.12
5	6.57
36	17.42
26	13.92
31	15.67
39	18.47
98	39.12
88	35.62
70	29.32
55	24.07
95	38.07
56	24.42
76	31.42
5	6.57
32	16.02
52	23.02
18	11.12
56	24.42
14	9.72
30	15.32
18	11.12
2	5.52
96	38.42
74	30.72
91	36.67
25	13.57
31	15.67
21	12.17
19	11.47
62	26.52
45	20.57
97	38.77
20	11.82
81	33.17
75	31.07
3	5.87
20	11.82
73	30.37
43	19.87
42	19.52
80	32.82
38	18.12
51	22.67
56	24.42
43	19.87
35	17.07
60	25.82
13	9.37
92	37.02
74	30.72
95	38.07
10	8.32
28	14.62
91	36.67
36	17.42
20	11.82
69	28.97
20	11.82
93	37.37
40	18.82
34	16.72
38	18.12
38	18.12
6	6.92
71	29.67
13	9.37
9	7.97
92	37.02
39	18.47
53	23.37
86	34.92
19	11.47
43	19.87
37	17.77
76	31.42
39	18.47
25	13.57
88	35.62
52	23.02
17	10.77
63	26.87
48	21.62
79	32.47
